temperature_K,tolerance,seed,mean,std,coefficient_of_variation,peak_to_peak,row_mean_std,col_mean_std
300,1e-06,101,480.2444661458333,1.2312930835946663,0.002563888124471935,8.0,0.12839187079682224,0.702287717023708
300,1e-06,202,480.1422526041667,1.2635767391711783,0.002631671618812689,8.0,0.12794542418054328,0.7646549506604989
300,1e-06,303,480.1442057291667,1.213143737777533,0.0025266237170043595,8.0,0.13201505322148865,0.6993562644833008
300,3e-06,101,480.4521484375,3.578498698658369,0.007448189607011157,23.0,0.3747748652804722,2.0788385095319084
300,3e-06,202,480.130859375,3.6992835442341097,0.007704740222383481,26.0,0.36973607178187623,2.3031832683754465
300,3e-06,303,480.1569010416667,3.581108822202594,0.007458205462492843,25.0,0.3781599492787388,2.1188667897831936
300,1e-05,101,481.1539713541667,11.913918838607614,0.024761135827429438,76.0,1.226703438622332,6.952451607126784
300,1e-05,202,480.1263020833333,12.305266947886407,0.02562922900597651,83.0,1.221887793207039,7.664949418291096
300,1e-05,303,480.2047526041667,11.890590240476723,0.02476150053907973,86.0,1.275421988604813,7.060335823587537
300,3e-05,101,483.1891276041667,35.719798563194274,0.07392508755382486,229.0,3.6641128055794687,20.837332072195064
300,3e-05,202,480.0673828125,36.89742896522845,0.07685885416556093,252.0,3.6735786111247766,22.978604669232226
300,3e-05,303,480.3343098958333,35.63986195723895,0.07419803504140254,257.0,3.8147082855743606,21.17804223857608
300,0.0001,101,490.2991536458333,119.07594258896442,0.24286385506383865,764.0,12.2217276073327,69.48076461563431
300,0.0001,202,479.8916015625,123.0032907642769,0.25631473933651916,839.0,12.237977817287334,76.63090792931868
300,0.0001,303,480.8264973958333,118.82294432207604,0.24712228832151237,858.0,12.719722222221481,70.62617840004175
340,1e-06,101,523.9583333333334,1.2256305066735604,0.0023391755196950654,7.0,0.1227140146180564,0.70050631180736
340,1e-06,202,523.8447265625,1.2646195299141425,0.002414111407043554,8.0,0.12858649776089542,0.76526112462375
340,1e-06,303,523.857421875,1.2268097257812576,0.0023418771493018803,9.0,0.13716908718737508,0.7131159271070237
340,3e-06,101,524.150390625,3.574837897478072,0.006820252281440474,23.0,0.3704369873606275,2.0838816620527782
340,3e-06,202,523.8434244791666,3.698856417026183,0.007060996175916087,25.0,0.3703527358060145,2.2940831015568484
340,3e-06,303,523.86328125,3.5725633689362466,0.006819648364000023,26.0,0.3833900299160928,2.120274294336665
340,1e-05,101,524.8587239583334,11.91354334521784,0.022698571637276652,77.0,1.21872478578574,6.942876799920214
340,1e-05,202,523.8128255208334,12.31645683398904,0.02351308756470909,84.0,1.2153334589721145,7.675139230631214
340,1e-05,303,523.9124348958334,11.89293389468577,0.02270023214289689,86.0,1.2742230593350345,7.070912612353702
340,3e-05,101,526.8889973958334,35.72664204566906,0.06780677186703309,230.0,3.6704150460601563,20.850526126715458
340,3e-05,202,523.7652994791666,36.9005286849392,0.07045241202812245,252.0,3.6819005000336666,22.987432831267416
340,3e-05,303,524.0537109375,35.64872262832185,0.06802494073469773,258.0,3.8165254030918585,21.190001851085217
340,0.0001,101,533.990234375,119.07052645057006,0.22298259178828275,765.0,12.210931928864825,69.4758192332159
340,0.0001,202,523.5914713541666,122.99499044537559,0.23490640542190877,839.0,12.236101423055965,76.62261233361689
340,0.0001,303,524.5257161458334,118.82165322945076,0.22653160669135788,857.0,12.730603388293847,70.64050449187711
380,1e-06,101,581.1526692708334,1.223069018048403,0.002104557171840879,8.0,0.13143586415604944,0.6965068032616358
380,1e-06,202,581.0436197916666,1.2567726612670607,0.0021629575103460853,8.0,0.12982854769190763,0.7600038008566915
380,1e-06,303,581.0465494791666,1.2202639400921884,0.0021001139085775446,8.0,0.13008416931548422,0.6999420838390065
380,3e-06,101,581.3538411458334,3.588464168603149,0.006172599051776073,23.0,0.37645509770179264,2.0851830726709775
380,3e-06,202,581.0286458333334,3.7006949290503948,0.006369212526075573,25.0,0.3766555973553257,2.3028329402675434
380,3e-06,303,581.0608723958334,3.5794378442141124,0.006160177038690206,25.0,0.3775041118788056,2.113929960787837
380,1e-05,101,582.0592447916666,11.913058768482887,0.020467089690752813,76.0,1.2206805553469098,6.954646582449635
380,1e-05,202,581.0279947916666,12.301464921232194,0.02117189710565152,84.0,1.226375708695799,7.663638387600917
380,1e-05,303,581.1041666666666,11.887201334021206,0.020456231457104575,86.0,1.2689214614574151,7.060221947005079
380,3e-05,101,584.0960286458334,35.71893077176788,0.06115249722648954,229.0,3.665321320029423,20.836819896139676
380,3e-05,202,580.9697265625,36.893110773984375,0.06350263892797771,252.0,3.6653718540623195,22.9800499325254
380,3e-05,303,581.2447916666666,35.64120572862162,0.06131875285527067,257.0,3.814554407915318,21.185326228725742
380,0.0001,101,591.2018229166666,119.06806755053448,0.20140003453155425,764.0,12.208145088072468,69.48681729052949
380,0.0001,202,580.7958984375,122.99706105207562,0.21177329485792065,839.0,12.231336597154916,76.62589205108023
380,0.0001,303,581.7291666666666,118.81598860972186,0.20424622903221895,858.0,12.72682440602547,70.63045605614941
