temperature_K,fractional_bits,std_before,std_after,residual_nonuniformity,mean_absolute_correction_error,center_edge_residual,ring_artifact_score
320,3bit,98.5767588076526,15.8737912819702,0.161029754619381,13.183711613156666,-17.15625,15.832620774780695
340,3bit,98.78017208742274,17.903041452457828,0.18124124583031928,14.939939815484612,-18.53125,17.98737329575755
380,3bit,99.5286300811487,22.923289627695485,0.2303185486327445,19.26519559800053,-24.15625,23.234802707046793
320,4bit,98.5767588076526,7.796197460791581,0.07908758164796098,6.478465201923386,0.03125,6.04758359251701
340,4bit,98.78017208742274,8.808103742235563,0.08916874263430304,7.356028291260101,0.875,6.85567307866122
380,4bit,99.5286300811487,11.25968155379186,0.11313007668860207,9.471203776544012,0.5,8.828184321872733
320,5bit,98.5767588076526,3.9204090008304333,0.03977011466242374,3.3076649889533907,0.015625,2.7513451749819544
340,5bit,98.78017208742274,4.425109212088575,0.044797545079919995,3.7501018717782815,0.859375,3.1214091843403247
380,5bit,99.5286300811487,5.669468076583241,0.056963188099351435,4.834232232207626,0.484375,4.01080733892057
320,6bit,98.5767588076526,1.999192314132676,0.02028056448917731,1.67535556981593,0.01953125,1.103999069265431
340,6bit,98.78017208742274,2.264402303892653,0.022923652146390312,1.9010139669410482,0.86328125,1.2447487181116776
380,6bit,99.5286300811487,2.8680539020397737,0.0288163707236939,2.434280647335393,0.48828125,1.6115171046705836
320,full,98.5767588076526,0.3609364399618045,0.0036614760347931496,0.2971095132691502,-0.32570836310122786,0.045224325327213405
340,full,98.78017208742274,0.356759968579821,0.0036116556697641726,0.29399091742954586,0.46580757681857676,0.04818381682203626
380,full,99.5286300811487,0.5255217860263385,0.005280106694906427,0.42999034780604584,-0.03524789134939965,0.058288294506341244
