delta_t_K,tpr,fpr,precision,iou,detection_probability,snr_like
0.1,0.0,0.0,0.0,0.0,0.0,0.24917591810433798
0.2,0.0,0.0,0.0,0.0,0.0,0.5049911781906871
0.5,0.0,0.0,0.0,0.0,0.0,1.2755106876190316
1.0,0.0564946970969942,0.0,0.6666666666666666,0.0564946970969942,0.0,2.6135625750747042
1.5,0.5591029932349332,2.278547926977096e-06,0.9989711934156378,0.5590270178275882,0.7222222222222222,3.8952070629610316
2.0,0.8395056193560706,8.430627329815254e-05,0.9825761916068547,0.833723310058527,1.0,5.182009003985921
3.0,0.9799541809851089,0.0006767287343121976,0.9294879048642439,0.9167270851438288,1.0,7.767385669230121
4.0,0.9988545246277205,0.001599559299736662,0.8744709906712084,0.8740403734590396,1.0,10.295542925226052
6.0,1.0,0.00313072485166653,0.8196434952747772,0.8196434952747772,1.0,15.271135759214937
8.0,1.0,0.004185692541856925,0.7959924051573318,0.7959924051573318,1.0,20.010731424737358
10.0,1.0,0.005072047685451015,0.7811450097766848,0.7811450097766848,1.0,24.74145595780215
