quant_step,num_levels,frame_idx,mu_anom,mu_bg,sigma_bg,snr_like,contrast,tp,fp,tn,fn,tpr,fpr,precision,f1,iou,detected_success,threshold
1,1024,0,249.85279187817258,222.72946819948723,1.1803707905089895,22.978646961425962,27.123323678685352,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,1,249.84263959390864,222.74940038044826,1.1809519545873879,22.941864068404435,27.09323921346038,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,2,249.91878172588832,222.72888925647175,1.1824432798482383,22.9946695395878,27.189892469416577,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,3,249.82741116751268,222.741626002812,1.1718177602281983,23.114332350984352,27.085785164700667,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,4,249.85786802030458,222.73443056819121,1.1911181432178077,22.771408198719357,27.123437452113365,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,5,249.81725888324874,222.72475394921844,1.1860289017146672,22.843039402211947,27.092504934030302,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,6,249.9746192893401,222.7327764452899,1.1760716581458823,23.16342091518294,27.24184284405021,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,7,249.88324873096445,222.7307914978083,1.1903704250575555,22.81009059162681,27.152457233156156,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,8,249.85279187817258,222.72946819948723,1.1824709602315027,22.937834915941767,27.123323678685352,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
1,1024,9,249.73604060913706,222.7361673972376,1.1818512214953543,22.845407882844576,26.999873211899455,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,227.4478
2,512,0,249.83756345177665,222.73575386651228,1.2855718043883897,21.081521462084368,27.101809585264363,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.91653713605683
2,512,1,249.81725888324874,222.75494169216773,1.296020905401553,20.88108075903,27.062317191081007,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.91083734000102
2,512,2,249.9289340101523,222.72963361177736,1.2907223281691484,21.07292932396725,27.19930039837493,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.9519989261975
2,512,3,249.7969543147208,222.73062608551817,1.2770163475237544,21.194973957605633,27.06632822920264,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.89341377225296
2,512,4,249.81725888324874,222.7337689190307,1.294651657306801,20.919519016071455,27.083489964218046,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.91604969717577
2,512,5,249.69543147208122,222.7337689190307,1.2856769396503167,20.970791122989002,26.96166255305053,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.86278031561454
2,512,6,249.9492385786802,222.72500206765363,1.286661750264526,21.15881388828844,27.22423651102656,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.95898559330996
2,512,7,249.90862944162436,222.70862625093045,1.28072979909773,21.237893589933037,27.200003190693906,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.94263497929754
2,512,8,249.88832487309645,222.72715242742535,1.2848041415265927,21.14032136711393,27.1611724456711,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.9331396403155
2,512,9,249.75634517766497,222.74055082292614,1.2824276280745066,21.066135634727033,27.01579435473883,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,232.87814468649398
4,256,0,249.78680203045684,222.94599288727153,1.7763397179121356,15.110177897014719,26.84080914318531,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.43660278136434
4,256,1,249.58375634517768,222.97378215201388,1.7695045124788755,15.038093435481683,26.609974193163794,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.34949745040322
4,256,2,249.68527918781726,222.9628649408651,1.769496038927385,15.101708994584964,26.722414246952155,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.38740131825338
4,256,3,249.80710659898477,222.97345132743362,1.7644444553135439,15.207990929237146,26.83365527155115,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.4179493724177
4,256,4,250.0507614213198,222.935406500703,1.7856463809650824,15.185176197070916,27.115354920616795,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.54117671785048
4,256,5,249.68527918781726,222.9463237118518,1.7709405953031332,15.098730892996748,26.73895547596547,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.39490017507833
4,256,6,249.98984771573603,222.9688197833099,1.767740520234373,15.285630228605948,27.021027932426136,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.48523689201747
4,256,7,249.8477157360406,222.93871474650567,1.7824252441041322,15.096846882383403,26.909000989534945,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.46783589142493
4,256,8,249.7258883248731,222.94003804482674,1.7839544249592254,15.014873645473642,26.78585028004636,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.42861539202136
4,256,9,249.44162436548223,222.95790257216112,1.7759168819470832,14.912703439298824,26.48372179332111,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.31550950120726
8,128,0,248.2030456852792,223.9311884873046,0.7387537325007013,32.85513985264574,24.271857197974583,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.4181526384474
8,128,1,248.2030456852792,223.93846662807047,0.6989138856649341,34.717551839914925,24.26457905720872,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.38851544492107
8,128,2,248.28426395939087,223.93251178562568,0.7316768794455573,33.2821124431569,24.351752173765192,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.44717012853584
8,128,3,248.28426395939087,223.94574476883633,0.6565807027325582,37.068587439841686,24.338519190554535,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.39331219351533
8,128,4,248.08121827411168,223.9311884873046,0.7387537325007013,32.690230484600825,24.150029786807067,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.36634671444244
8,128,5,248.0,223.92854189066247,0.7527008790416662,31.980111594907594,24.071458109337527,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.34248083164206
8,128,6,248.2030456852792,223.92920353982302,0.7492393093280255,32.39798265153331,24.27384214545617,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.4262108386746
8,128,7,248.28426395939087,223.92788024150195,0.7561460232115442,32.21121710650698,24.356383717888917,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.46590992853547
8,128,8,248.08121827411168,223.93251178562568,0.7316768794455573,33.00460512950083,24.148706488486,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.3609414039671
8,128,9,248.04060913705584,223.9470680671574,0.6485781936100125,37.14824412426328,24.093541069898436,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,233.28372231381357
16,64,0,255.43147208121826,224.0,0.0,inf,31.43147208121826,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.8965207695737
16,64,1,255.43147208121826,224.0,0.0,inf,31.43147208121826,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.8965207695737
16,64,2,255.59390862944161,224.0,0.0,inf,31.593908629441614,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.94271848367336
16,64,3,255.26903553299493,224.0,0.0,inf,31.269035532994934,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.85013780473506
16,64,4,255.59390862944161,224.0,0.0,inf,31.593908629441614,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.94271848367336
16,64,5,255.51269035532994,224.0,0.0,inf,31.512690355329937,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.91964264814072
16,64,6,255.51269035532994,224.0,0.0,inf,31.512690355329937,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.91964264814072
16,64,7,255.59390862944161,224.0,0.0,inf,31.593908629441614,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.94271848367336
16,64,8,255.75634517766497,224.0,0.0,inf,31.75634517766497,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.98873308858512
16,64,9,255.59390862944161,224.0,0.0,inf,31.593908629441614,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,235.94271848367336
32,32,0,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,1,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,2,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,3,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,4,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,5,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,6,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,7,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,8,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
32,32,9,256.0,224.0,0.0,inf,32.0,197,0,12091,0,1.0,0.0,1.0,1.0,1.0,1.0,236.05741624980632
64,16,0,256.0,200.71259614589363,21.947592618229276,2.5190646106755987,55.28740385410637,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.5546496616705
64,16,1,256.0,200.61731866677695,21.84605716528596,2.5351339564023383,55.38268133322305,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.2778084802037
64,16,2,256.0,200.57497312050285,21.80064484584885,2.542357222522748,55.42502687949715,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.1540344521832
64,16,3,256.0,200.83433959143164,22.076054399164914,2.498891305986959,55.16566040856836,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.9051020312538
64,16,4,256.0,200.76023488545198,21.9980298531627,2.5111232907344245,55.23976511454802,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.69222003800724
64,16,5,256.0,200.47969564138614,21.697817468081222,2.558796728762583,55.520304358613856,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,259.8738759546659
64,16,6,256.0,200.65966421305103,21.891293368653873,2.5279609959542526,55.34033578694897,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.40113010476784
64,16,7,256.0,200.73906211231494,21.975640345283637,2.5146451716272757,55.26093788768506,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.6311472656548
64,16,8,256.0,200.60143908692416,21.82904824304256,2.537836752948342,55.39856091307584,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.23144636776726
64,16,9,256.0,200.6226118600612,21.851721299582987,2.5342345978481617,55.3773881399388,0,0,12091,197,0.0,0.0,0.0,0.0,0.0,0.0,260.29324837374116
