fill_factor,size_px,snr_like,tpr,fpr,precision,iou
0.1,1,2.0309293349355255,0.1,0.0004557662570196143,0.0125,0.0125
0.1,2,1.7373103483018824,0.0,0.0,0.0,0.0
0.1,4,1.4605935404701307,0.0,0.0,0.0,0.0
0.1,8,1.51837677256603,0.0,0.0,0.0,0.0
0.1,16,1.5002244170058194,0.0,0.0,0.0,0.0
0.1,32,1.5163174029509443,0.00078125,0.0,0.2,0.00078125
0.25,1,3.7697120761853546,0.5,0.00046390494018067876,0.09,0.09
0.25,2,4.049818073239927,0.5,8.140670791273201e-06,0.48,0.48
0.25,4,3.912740967710161,0.69375,8.148631029986962e-06,0.8928571428571429,0.6889705882352941
0.25,8,3.8818603811112444,0.7125,8.18062827225131e-06,0.9979166666666666,0.7113701923076923
0.25,16,3.8062634448749377,0.6953125,0.0,1.0,0.6953125
0.25,32,3.8156862786992463,0.6921875,8.877840909090909e-06,0.9998575498575498,0.692120712652439
0.5,1,7.344115978790896,1.0,0.00040693415805322704,0.1886904761904762,0.1886904761904762
0.5,2,7.791034096079466,1.0,0.0,1.0,1.0
0.5,4,7.667953702198309,1.0,0.0,1.0,1.0
0.5,8,7.597077120789869,1.0,8.18062827225131e-06,0.9984615384615385,0.9984615384615385
0.5,16,7.672697395513114,1.0,0.0,1.0,1.0
0.5,32,7.693898637680213,1.0,0.0,1.0,1.0
0.75,1,11.795652700313065,1.0,0.00035810205908683976,0.2244047619047619,0.2244047619047619
0.75,2,11.609407702925761,1.0,0.0,1.0,1.0
0.75,4,11.392722167494934,1.0,8.148631029986962e-06,0.9941176470588236,0.9941176470588236
0.75,8,11.594654091585314,1.0,0.0,1.0,1.0
0.75,16,11.58753011124775,1.0,0.0,1.0,1.0
0.75,32,11.584592304192991,1.0,0.0,1.0,1.0
1.0,1,15.735742627867449,1.0,0.00048018230650280784,0.15857142857142856,0.15857142857142856
1.0,2,15.67709911715871,1.0,0.0,1.0,1.0
1.0,4,15.496894065543874,1.0,0.0,1.0,1.0
1.0,8,15.432268822486355,1.0,0.0,1.0,1.0
1.0,16,15.529405036479726,1.0,0.0,1.0,1.0
1.0,32,15.477458485411969,1.0,0.0,1.0,1.0
