time,alpha,contrast_adc
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,2.5198840071021493
22,0.0,4.998066023328079
23,0.0,7.375266883448745
24,0.0,10.183691983556258
25,0.0,13.048738649598306
26,0.0,15.198485115082661
27,0.0,17.110420241933696
28,0.0,20.136517120530414
29,0.0,23.121156516526412
30,0.0,25.289260145379586
31,0.0,28.216296895506588
32,0.0,30.763651140772026
33,0.0,30.338343848712583
34,0.0,30.590765508946646
35,0.0,30.344889205759415
36,0.0,30.55860086423391
37,0.0,30.134731676923053
38,0.0,30.513884033000238
39,0.0,30.990544918303016
40,0.0,30.41662458229837
41,0.0,30.52531650872652
42,0.0,30.18089346827753
43,0.0,30.537226575383585
44,0.0,30.83050777741977
45,0.0,30.96914016113172
46,0.0,30.324753454155456
47,0.0,30.713047829931924
48,0.0,30.600951068638267
49,0.0,30.688077517502137
50,0.0,30.16878840436644
51,0.0,30.45696235410435
52,0.0,30.664553688609175
53,0.0,30.660264510728297
54,0.0,30.229189565514133
55,0.0,30.44788964983519
56,0.0,30.60522653577476
57,0.0,30.662896973657837
58,0.0,30.69998072878701
59,0.0,31.121300479342864
60,0.0,30.3004587767426
61,0.0,30.72572188973666
62,0.0,30.742495462124452
63,0.0,30.64297450030051
64,0.0,30.5881856038707
65,0.0,30.30904551129271
66,0.0,30.31437289720978
67,0.0,30.76977984352996
68,0.0,30.50503984113817
69,0.0,30.279687760646965
70,0.0,30.506249433479667
71,0.0,30.391882782275673
72,0.0,30.334552827879122
73,0.0,30.991710331579128
74,0.0,30.259963331375758
75,0.0,30.304256652948283
76,0.0,30.395817765925614
77,0.0,30.525240337924146
78,0.0,30.04793733275747
79,0.0,30.21090171757544
0,0.3,0.0
1,0.3,0.0
2,0.3,0.0
3,0.3,0.0
4,0.3,0.0
5,0.3,0.0
6,0.3,0.0
7,0.3,0.0
8,0.3,0.0
9,0.3,0.0
10,0.3,0.0
11,0.3,0.0
12,0.3,0.0
13,0.3,0.0
14,0.3,0.0
15,0.3,0.0
16,0.3,0.0
17,0.3,0.0
18,0.3,0.0
19,0.3,0.0
20,0.3,0.0
21,0.3,1.7913287267397493
22,0.3,4.036044834351571
23,0.3,6.373500268719596
24,0.3,9.040634469105242
25,0.3,11.846307395450367
26,0.3,14.192831799192959
27,0.3,16.23514370911144
28,0.3,18.966105097104673
29,0.3,21.874641090699896
30,0.3,24.26487442897573
31,0.3,27.03087015554732
32,0.3,29.643816845204668
33,0.3,30.129985747660186
34,0.3,30.45253158056076
35,0.3,30.377181918199852
36,0.3,30.504175180423715
37,0.3,30.24556472797329
38,0.3,30.43338824149214
39,0.3,30.823397915259733
40,0.3,30.538656582186803
41,0.3,30.529318530764584
42,0.3,30.2854209870236
43,0.3,30.461684898875575
44,0.3,30.719860913856508
45,0.3,30.89435638694914
46,0.3,30.49563433399362
47,0.3,30.647823781150436
48,0.3,30.615012882391966
49,0.3,30.666158126969094
50,0.3,30.317999321147255
51,0.3,30.415273444217235
52,0.3,30.589769615291658
53,0.3,30.639116042097214
54,0.3,30.35216750848906
55,0.3,30.41917300743134
56,0.3,30.54941047727172
57,0.3,30.628851024742062
58,0.3,30.67864181757355
59,0.3,30.988502880812092
60,0.3,30.50687200796341
61,0.3,30.66006692520469
62,0.3,30.71776690104852
63,0.3,30.665412220524956
64,0.3,30.61135358886696
65,0.3,30.399737934564968
66,0.3,30.339982408416375
67,0.3,30.640840612995873
68,0.3,30.545780072695464
69,0.3,30.359515454261526
70,0.3,30.46222923971422
71,0.3,30.412986719507302
72,0.3,30.35808299536754
73,0.3,30.80162213071563
74,0.3,30.422460971177742
75,0.3,30.33971794841713
76,0.3,30.378987820673075
77,0.3,30.481364582748824
78,0.3,30.17796550775492
79,0.3,30.201020854629263
0,0.6,0.0
1,0.6,0.0
2,0.6,0.0
3,0.6,0.0
4,0.6,0.0
5,0.6,0.0
6,0.6,0.0
7,0.6,0.0
8,0.6,0.0
9,0.6,0.0
10,0.6,0.0
11,0.6,0.0
12,0.6,0.0
13,0.6,0.0
14,0.6,0.0
15,0.6,0.0
16,0.6,0.0
17,0.6,0.0
18,0.6,0.0
19,0.6,0.0
20,0.6,0.0
21,0.6,1.07459662321088
22,0.6,2.643984383257788
23,0.6,4.536497383334222
24,0.6,6.795375223423008
25,0.6,9.296720593893099
26,0.6,11.65742640236897
27,0.6,13.838623938194928
28,0.6,16.357781211129065
29,0.6,19.063131333288
30,0.6,21.553582858124628
31,0.6,24.218668473077514
32,0.6,26.83666154015529
33,0.6,28.23733446357818
34,0.6,29.17870688172556
35,0.6,29.64517981133912
36,0.6,30.010548232497
37,0.6,30.06022161026746
38,0.6,30.241686579360476
39,0.6,30.54122991493756
40,0.6,30.491387781881855
41,0.6,30.504959272619715
42,0.6,30.375332950882807
43,0.6,30.440090400683147
44,0.6,30.5962573513778
45,0.6,30.74541047527933
46,0.6,30.57714766682983
47,0.6,30.631507732070673
48,0.6,30.61928506669767
49,0.6,30.64680204701952
50,0.6,30.455596589958276
51,0.6,30.456142895616637
52,0.6,30.539507212813675
53,0.6,30.587810131979552
54,0.6,30.44436190539335
55,0.6,30.44577300317019
56,0.6,30.509554416211984
57,0.6,30.570891439190348
58,0.6,30.62252715502899
59,0.6,30.822036484754562
60,0.6,30.613405401549784
61,0.6,30.65833199682453
62,0.6,30.691997382944464
63,0.6,30.67238822988685
64,0.6,30.63870717948035
65,0.6,30.50684251220531
66,0.6,30.429854666207092
67,0.6,30.56582473713624
68,0.6,30.541510778737006
69,0.6,30.436781571501
70,0.6,30.46456871629249
71,0.6,30.435494342685757
72,0.6,30.395117736763098
73,0.6,30.633754774689493
74,0.6,30.48423819736405
75,0.6,30.412245579597737
76,0.6,30.405674454128814
77,0.6,30.45350080764709
78,0.6,30.291275417691224
79,0.6,30.259125937644853
0,0.9,0.0
1,0.9,0.0
2,0.9,0.0
3,0.9,0.0
4,0.9,0.0
5,0.9,0.0
6,0.9,0.0
7,0.9,0.0
8,0.9,0.0
9,0.9,0.0
10,0.9,0.0
11,0.9,0.0
12,0.9,0.0
13,0.9,0.0
14,0.9,0.0
15,0.9,0.0
16,0.9,0.0
17,0.9,0.0
18,0.9,0.0
19,0.9,0.0
20,0.9,0.0
21,0.9,0.3492517585335122
22,0.9,0.8141331850129347
23,0.9,1.4702465548565442
24,0.9,2.3415910977265355
25,0.9,3.4123058529137325
26,0.9,4.590923779130577
27,0.9,5.842873425410858
28,0.9,7.27223779492283
29,0.9,8.8571296670832
30,0.9,10.500342714912819
31,0.9,12.271938132972224
32,0.9,14.121109433752196
33,0.9,15.742832875248212
34,0.9,17.227626138618092
35,0.9,18.53935244533224
36,0.9,19.741277287222402
37,0.9,20.780622726192462
38,0.9,21.75394885687325
39,0.9,22.677608463016213
40,0.9,23.451510074944366
41,0.9,24.158890718322624
42,0.9,24.761090993318163
43,0.9,25.338704551524643
44,0.9,25.887884874114178
45,0.9,26.396010402815847
46,0.9,26.788884707949876
47,0.9,27.181301020148112
48,0.9,27.523266024997127
49,0.9,27.839747174247663
50,0.9,28.072651297259483
51,0.9,28.31108240294398
52,0.9,28.546429531510455
53,0.9,28.757813029432242
54,0.9,28.904950683040397
55,0.9,29.059244579719973
56,0.9,29.213842775325418
57,0.9,29.358748195158654
58,0.9,29.492871448521498
59,0.9,29.655714351603564
60,0.9,29.72018879411752
61,0.9,29.820742103679436
62,0.9,29.912917439523966
63,0.9,29.98592314560156
64,0.9,30.046149391428486
65,0.9,30.072439003414928
66,0.9,30.096632392794362
67,0.9,30.16394713786798
68,0.9,30.198056408195015
69,0.9,30.20621954344017
70,0.9,30.236222532444145
71,0.9,30.25178855742726
72,0.9,30.26006498447248
73,0.9,30.333229519183135
74,0.9,30.325902900402355
75,0.9,30.323738275656922
76,0.9,30.330946224683828
77,0.9,30.350375636007925
78,0.9,30.32013180568279
79,0.9,30.30920879687207
